name,retinue,weapon,shield,armor,ranged,has_tiltyard,size,extra_tags,upkeep_per_retinue,playstyle,tiltyard_mastery,pursuits,military_pursuit_count,domain_count
"MaA/FarmTools/Cloth [(NInd, RProw, NPie, NCun), Nimble]|M1",Man-at-Arms,Farm Tools,,Cloth,,False,25,"Nimble,Immune Blocked",2000,,False,Coliseum|Conditioning Field,1,3
"MaA/Cudgel/Cloth [(NInd, RProw, NPie, NCun), Nimble]|M1",Man-at-Arms,Cudgel,,Cloth,,False,25,"Nimble,Immune Blocked",2000,,False,Coliseum|Conditioning Field,1,3
"MaA/Pitchfork/Cloth [(NInd, RProw, NPie, NCun), Nimble]|M1",Man-at-Arms,Pitchfork,,Cloth,,False,25,"Nimble,Immune Blocked",2000,,False,Coliseum|Conditioning Field,1,3
"MaA/Pitchfork/Cloth [(NInd, EProw, NPie, NCun), Nimble, Parry +1, Riposte]|M1",Man-at-Arms,Pitchfork,,Cloth,,False,25,"Parry,Immune Blocked,Parry +1,Riposte,Nimble",2000,,False,Coliseum|Conditioning Field|Grand Tournament,1,6
"MaA/FarmTools/Cloth [(NInd, RProw, NPie, NCun), Nimble]|M2",Man-at-Arms,Farm Tools,,Cloth,,False,25,"Nimble,Immune Blocked",2000,,False,Coliseum|Conditioning Field|Stable,2,3
"MaA/FarmTools/Cloth [RoPaM, (NInd, SProw, NPie, NCun), Nimble, Parry +1, Riposte]|M2",Man-at-Arms,Farm Tools,,Cloth,,False,25,"Drilled,Immune Blocked,Parry,Riposte,Immune Strain,Parry +1,Nimble",2000,,False,Coliseum|Conditioning Field|Grand Tournament|Royal Pavilion|Tiltyard,2,10
"MaA/FarmTools/Buckler/Cloth [(RInd, RProw, NPie, NCun), Nimble]|M2",Man-at-Arms,Farm Tools,Buckler Shield,Cloth,,False,25,"Nimble,Immune Blocked",1800,,False,Carpentry|Coliseum|Conditioning Field|Joinery,2,6
"MaA/FarmTools/Leather [(NInd, RProw, NPie, NCun), Nimble]|M2",Man-at-Arms,Farm Tools,,Leather,,False,25,"Nimble,Immune Blocked",1800,,False,Animal Husbandry|Coliseum|Conditioning Field|Tannery,2,3
"MaA/Cudgel/Cloth [(NInd, RProw, NPie, NCun), Nimble]|M2",Man-at-Arms,Cudgel,,Cloth,,False,25,"Nimble,Immune Blocked",2000,,False,Coliseum|Conditioning Field|Stable,2,3
"MaA/Cudgel/Leather [(NInd, EProw, NPie, NCun), Nimble, Parry +1, Riposte]|M2",Man-at-Arms,Cudgel,,Leather,,False,25,"Immune Blocked,Parry,Riposte,Parry +1,Nimble",1800,,False,Animal Husbandry|Coliseum|Conditioning Field|Grand Tournament|Tannery,2,6
"MaA/Pitchfork/Cloth [(NInd, RProw, NPie, NCun), Nimble]|M2",Man-at-Arms,Pitchfork,,Cloth,,False,25,"Nimble,Immune Blocked",2000,,False,Coliseum|Conditioning Field|Stable,2,3
"MaA/Pitchfork/Cloth [RoPaI, (NInd, SProw, NPie, NCun), Nimble]|M2",Man-at-Arms,Pitchfork,,Cloth,,False,25,"Immune Strain,Nimble,Immune Blocked,Parry",2000,,False,Coliseum|Conditioning Field|Royal Pavilion,2,10
"MaA/Pitchfork/Cloth [(NInd, EProw, NPie, NCun), Nimble, Parry +1, Riposte]|M2",Man-at-Arms,Pitchfork,,Cloth,,False,25,"Parry,Immune Blocked,Parry +1,Riposte,Nimble",2000,,False,Coliseum|Conditioning Field|Grand Tournament|Stable,2,6
"MaA/Pitchfork/Leather [(NInd, RProw, NPie, NCun), Nimble]|M2",Man-at-Arms,Pitchfork,,Leather,,False,25,"Nimble,Immune Blocked",1800,,False,Animal Husbandry|Coliseum|Conditioning Field|Tannery,2,3
"MaA/Daggers/Cloth [(NInd, RProw, NPie, NCun), Nimble]|M2",Man-at-Arms,Daggers,,Cloth,,False,25,"Nimble,Immune Blocked",2000,,False,Coliseum|Conditioning Field|Furnace,2,3
"MaA/Daggers/Cloth [(NInd, EProw, NPie, NCun), Nimble, Parry +1, Riposte]|M2",Man-at-Arms,Daggers,,Cloth,,False,25,"Parry,Immune Blocked,Parry +1,Riposte,Nimble",2000,,False,Coliseum|Conditioning Field|Furnace|Grand Tournament,2,6
